"smoke","sex","age","edu","weight","height","bmi","sport","marital","region","wkabint","income","ls"
"NO","MALE",77,"PRIMARY/NO EDUCATION",75,180,23.1481481481481,"YES","MARRIED","Lodzkie","NO",940,"MIXED"
"YES","FEMALE",20,"VOCATIONAL/GRAMMAR",60,157,24.3417582863402,"YES","SINGLE","Pomorskie","YES",NA,"MOSTLY SATISFIED"
"YES","MALE",40,"VOCATIONAL/GRAMMAR",82,178,25.8805706350208,"NO","MARRIED","Malopolskie","NO",1890,"PLEASED"
"YES","FEMALE",31,"POST-SECONDARY OR HIGHER",63,155,26.2226847034339,"YES","DIVORCED","Lubelskie","NO",1050,"MOSTLY SATISFIED"
"NO","MALE",64,"POST-SECONDARY OR HIGHER",70,165,25.7116620752984,"YES","MARRIED","Dolnoslaskie","NO",1600,"DELIGHTED"
"NO","FEMALE",30,"SECONDARY",60,169,21.0076677987465,"YES","SINGLE","Wielkopolskie","NO",1600,"PLEASED"
"NO","FEMALE",27,"POST-SECONDARY OR HIGHER",62,170,21.4532871972318,"NO","SINGLE","Lodzkie","NO",1400,"MOSTLY SATISFIED"
"NO","MALE",24,"SECONDARY",80,190,22.1606648199446,"YES","SINGLE","Wielkopolskie","YES",-8,"PLEASED"
"NO","MALE",83,"PRIMARY/NO EDUCATION",68,166,24.6770213383655,"YES","MARRIED","Zachodnio-pomorskie","NO",1600,"MOSTLY SATISFIED"
"NO","FEMALE",21,"SECONDARY",60,160,23.4375,"YES","SINGLE","Malopolskie","NO",-8,"MOSTLY SATISFIED"
"NO","FEMALE",37,"SECONDARY",60,164,22.3081499107674,"YES","MARRIED","Warminsko-mazurskie","NO",-8,"PLEASED"
"NO","FEMALE",80,"PRIMARY/NO EDUCATION",80,150,35.5555555555556,"YES","MARRIED","Opolskie","NO",1200,"MIXED"
"NO","MALE",29,"POST-SECONDARY OR HIGHER",101,196,26.2911286963765,"NO","MARRIED","Slaskie","NO",2300,"MOSTLY SATISFIED"
"NO","MALE",48,"VOCATIONAL/GRAMMAR",85,180,26.2345679012346,"YES","MARRIED","Pomorskie","NO",1700,"MOSTLY SATISFIED"
"NO","FEMALE",57,"SECONDARY",57,158,22.8328793462586,"YES","MARRIED","Zachodnio-pomorskie","NO",NA,"PLEASED"
"NO","FEMALE",75,"PRIMARY/NO EDUCATION",67,147,31.0055995187191,"YES","MARRIED","Pomorskie","NO",901,"MOSTLY SATISFIED"
"NO","FEMALE",81,"PRIMARY/NO EDUCATION",82,160,32.03125,"YES","MARRIED","Slaskie","NO",1040,"MOSTLY SATISFIED"
"NO","FEMALE",64,"SECONDARY",70,156,28.7639710716634,"YES","MARRIED","Mazowieckie","NO",750,"MIXED"
"NO","FEMALE",19,"VOCATIONAL/GRAMMAR",48,171,16.415307274033,"NO","SINGLE","Podkarpackie","NO",NA,"MOSTLY SATISFIED"
"NO","MALE",30,"VOCATIONAL/GRAMMAR",85,178,26.8274207802045,"NO","MARRIED","Mazowieckie","NO",3500,"PLEASED"
"NO","FEMALE",58,"POST-SECONDARY OR HIGHER",72,158,28.8415318058003,"NO","DIVORCED","Zachodnio-pomorskie","YES",1200,"MIXED"
"NO","FEMALE",20,"SECONDARY",63,168,22.3214285714286,"YES","SINGLE","Slaskie","NO",NA,"MOSTLY SATISFIED"
"NO","FEMALE",55,"VOCATIONAL/GRAMMAR",75,156,30.818540433925,"YES","MARRIED","Zachodnio-pomorskie","NO",NA,"PLEASED"
"NO","FEMALE",75,"PRIMARY/NO EDUCATION",82,150,36.4444444444444,"YES","DIVORCED","Warminsko-mazurskie","NO",953,"MOSTLY DISSATISFIED"
"NO","FEMALE",58,"PRIMARY/NO EDUCATION",100,155,41.6233090530697,"YES","MARRIED","Malopolskie","NO",680,"MOSTLY SATISFIED"
"NO","FEMALE",45,"POST-SECONDARY OR HIGHER",64,162,24.3865264441396,"YES","MARRIED","Slaskie","NO",1000,"MIXED"
"YES","FEMALE",43,"VOCATIONAL/GRAMMAR",66,166,23.9512265931195,"YES","MARRIED","Kujawsko-pomorskie","NO",3000,"MOSTLY DISSATISFIED"
"YES","MALE",56,"PRIMARY/NO EDUCATION",55,172,18.5911303407247,"YES","WIDOWED","Lubelskie","NO",100,"TERRIBLE"
"YES","MALE",39,"PRIMARY/NO EDUCATION",84,182,25.3592561284869,"YES","SINGLE","Zachodnio-pomorskie","NO",1100,"MOSTLY DISSATISFIED"
"YES","FEMALE",38,"VOCATIONAL/GRAMMAR",70,164,26.0261748958953,"YES","MARRIED","Warminsko-mazurskie","NO",1000,"MOSTLY SATISFIED"
"NO","FEMALE",44,"SECONDARY",63,164,23.4235574063058,"NO","MARRIED","Zachodnio-pomorskie","NO",2000,"PLEASED"
"NO","MALE",62,"SECONDARY",79,179,24.6559096158047,"YES","MARRIED","Opolskie","NO",3500,"MIXED"
"YES","MALE",42,"VOCATIONAL/GRAMMAR",80,176,25.8264462809917,"YES","SINGLE","Malopolskie","NO",2000,"MIXED"
"NO","MALE",26,"VOCATIONAL/GRAMMAR",90,180,27.7777777777778,"YES","SINGLE","Malopolskie","NO",-8,"MIXED"
"NO","FEMALE",67,"POST-SECONDARY OR HIGHER",65,158,26.0374939913475,"YES","MARRIED","Podkarpackie","NO",1880,"MOSTLY SATISFIED"
"YES","MALE",30,"VOCATIONAL/GRAMMAR",60,165,22.038567493113,"NO","MARRIED","Wielkopolskie","NO",2420,"MIXED"
"NO","MALE",39,"VOCATIONAL/GRAMMAR",90,180,27.7777777777778,"YES","MARRIED","Malopolskie","NO",3000,"PLEASED"
"YES","FEMALE",70,"SECONDARY",74,168,26.218820861678,"NO","WIDOWED","Mazowieckie","NO",1448,"MOSTLY SATISFIED"
"NO","FEMALE",55,"SECONDARY",75,170,25.9515570934256,"NO","WIDOWED","Zachodnio-pomorskie","NO",2400,"MOSTLY SATISFIED"
"YES","FEMALE",48,"VOCATIONAL/GRAMMAR",58,164,21.5645449137418,"NO","MARRIED","Wielkopolskie","NO",1200,"MOSTLY SATISFIED"
"NO","MALE",35,"POST-SECONDARY OR HIGHER",74,177,23.6202879121581,"NO","MARRIED","Pomorskie","YES",15000,"PLEASED"
"NO","FEMALE",78,"PRIMARY/NO EDUCATION",65,158,26.0374939913475,"YES","WIDOWED","Slaskie","NO",-8,"MIXED"
"NO","MALE",46,"POST-SECONDARY OR HIGHER",80,172,27.0416441319632,"YES","MARRIED","Mazowieckie","NO",3500,"PLEASED"
"YES","MALE",50,"VOCATIONAL/GRAMMAR",80,190,22.1606648199446,"YES","SINGLE","Mazowieckie","NO",560,"MOSTLY DISSATISFIED"
"NO","MALE",44,"VOCATIONAL/GRAMMAR",104,169,36.4132908511607,"YES","MARRIED","Malopolskie","NO",300,"MIXED"
"NO","FEMALE",18,"SECONDARY",54,171,18.4672206832872,"YES","SINGLE","Slaskie","NO",-8,"MOSTLY SATISFIED"
"YES","FEMALE",32,"SECONDARY",80,165,29.3847566574839,"YES","MARRIED","Kujawsko-pomorskie","NO",NA,"PLEASED"
"NO","FEMALE",56,"SECONDARY",88,176,28.4090909090909,"YES","MARRIED","Malopolskie","NO",1700,"MIXED"
"YES","MALE",62,"PRIMARY/NO EDUCATION",70,167,25.0995015956112,"YES","MARRIED","Warminsko-mazurskie","NO",750,"MIXED"
"YES","FEMALE",29,"SECONDARY",95,170,32.8719723183391,"YES","MARRIED","Zachodnio-pomorskie","NO",1300,"PLEASED"
"NO","FEMALE",39,"VOCATIONAL/GRAMMAR",86,160,33.59375,"NO","WIDOWED","Wielkopolskie","NO",900,"PLEASED"
"YES","MALE",56,"PRIMARY/NO EDUCATION",70,176,22.5981404958678,"NO","MARRIED","Mazowieckie","NO",1500,"PLEASED"
"NO","FEMALE",61,"SECONDARY",83,164,30.8596073765616,"YES","MARRIED","Lubuskie","NO",1800,"PLEASED"
"NO","FEMALE",61,"SECONDARY",58,162,22.1002895900015,"NO","MARRIED","Mazowieckie","NO",800,"DELIGHTED"
"NO","FEMALE",86,"PRIMARY/NO EDUCATION",50,150,22.2222222222222,"YES","WIDOWED","Opolskie","NO",800,"MOSTLY SATISFIED"
"NO","MALE",52,"VOCATIONAL/GRAMMAR",73,170,25.2595155709343,"YES","MARRIED","Opolskie","YES",1500,"MOSTLY SATISFIED"
"YES","FEMALE",51,"VOCATIONAL/GRAMMAR",80,170,27.681660899654,"YES","MARRIED","Dolnoslaskie","NO",520,"MOSTLY DISSATISFIED"
"NO","MALE",24,"SECONDARY",76,180,23.4567901234568,"NO","SINGLE","Malopolskie","NO",-8,"MOSTLY SATISFIED"
"YES","MALE",54,"VOCATIONAL/GRAMMAR",100,182,30.1895906291511,"YES","MARRIED","Mazowieckie","YES",7000,"MIXED"
"NO","MALE",75,"SECONDARY",83,168,29.4075963718821,"YES","MARRIED","Mazowieckie","NO",1700,"MOSTLY SATISFIED"
"NO","FEMALE",70,"SECONDARY",80,154,33.7325012649688,"YES","MARRIED","Zachodnio-pomorskie","NO",1050,"PLEASED"
"NO","FEMALE",40,"SECONDARY",60,164,22.3081499107674,"YES","MARRIED","Podlaskie","NO",1400,"PLEASED"
"YES","MALE",30,"VOCATIONAL/GRAMMAR",80,176,25.8264462809917,"YES","MARRIED","Mazowieckie","NO",1500,"MOSTLY SATISFIED"
"NO","FEMALE",35,"POST-SECONDARY OR HIGHER",80,172,27.0416441319632,"YES","MARRIED","Zachodnio-pomorskie","NO",2000,"PLEASED"
"NO","MALE",50,"SECONDARY",77,173,25.7275552140065,"YES","MARRIED","Wielkopolskie","NO",3000,"PLEASED"
"NO","MALE",19,"VOCATIONAL/GRAMMAR",70,185,20.4528853177502,"NO","SINGLE","Lodzkie","NO",NA,"MOSTLY SATISFIED"
"NO","FEMALE",43,"SECONDARY",80,162,30.4831580551745,"YES","MARRIED","Swietokrzyskie","NO",1700,"PLEASED"
"NO","FEMALE",41,"POST-SECONDARY OR HIGHER",50,168,17.7154195011338,"YES","SINGLE","Podlaskie","NO",2100,"PLEASED"
"NO","MALE",55,"VOCATIONAL/GRAMMAR",84,165,30.8539944903581,"YES","MARRIED","Opolskie","NO",1300,"PLEASED"
"NO","FEMALE",43,"VOCATIONAL/GRAMMAR",82,164,30.4878048780488,"YES","WIDOWED","Lodzkie","NO",1000,"MOSTLY DISSATISFIED"
"YES","MALE",51,"VOCATIONAL/GRAMMAR",83,180,25.6172839506173,"YES","MARRIED","Slaskie","NO",2500,"MOSTLY SATISFIED"
"NO","FEMALE",76,"SECONDARY",62,158,24.8357634994392,"YES","MARRIED","Zachodnio-pomorskie","NO",800,"DELIGHTED"
"YES","FEMALE",36,"SECONDARY",70,165,25.7116620752984,"NO","MARRIED","Lubelskie","NO",1000,"PLEASED"
"NO","FEMALE",29,"SECONDARY",70,168,24.8015873015873,"YES","MARRIED","Pomorskie","NO",500,"PLEASED"
"NO","FEMALE",55,"VOCATIONAL/GRAMMAR",73,156,29.9967126890204,"YES","MARRIED","Wielkopolskie","NO",NA,"PLEASED"
"NO","MALE",27,"POST-SECONDARY OR HIGHER",77,179,24.0317093723667,"NO","SINGLE","Malopolskie","NO",1900,"PLEASED"
"NO","FEMALE",27,"SECONDARY",63,162,24.0054869684499,"YES","MARRIED","Warminsko-mazurskie","NO",NA,"MOSTLY SATISFIED"
"YES","FEMALE",50,"VOCATIONAL/GRAMMAR",96,156,39.4477317554241,"YES","DIVORCED","Dolnoslaskie","YES",1500,"MIXED"
"NO","FEMALE",24,"POST-SECONDARY OR HIGHER",65,170,22.4913494809689,"NO","SINGLE","Slaskie","YES",1000,"PLEASED"
"YES","FEMALE",63,"PRIMARY/NO EDUCATION",50,150,22.2222222222222,"YES","MARRIED","Kujawsko-pomorskie","NO",1500,"MOSTLY SATISFIED"
"NO","MALE",30,"VOCATIONAL/GRAMMAR",80,175,26.1224489795918,"YES","SINGLE","Podkarpackie","NO",1400,"MOSTLY SATISFIED"
"NO","FEMALE",59,"POST-SECONDARY OR HIGHER",85,158,34.0490306040699,"YES","MARRIED","Lubuskie","NO",1392,"MIXED"
"NO","FEMALE",25,"POST-SECONDARY OR HIGHER",61,168,21.6128117913832,"NO","SINGLE","Lubelskie","NO",1500,"PLEASED"
"NO","FEMALE",55,"POST-SECONDARY OR HIGHER",89,156,36.5713346482577,"YES","MARRIED","Kujawsko-pomorskie","NO",2300,"MOSTLY SATISFIED"
"YES","FEMALE",44,"VOCATIONAL/GRAMMAR",80,170,27.681660899654,"YES","MARRIED","Dolnoslaskie","NO",1600,"MOSTLY SATISFIED"
"NO","FEMALE",56,"VOCATIONAL/GRAMMAR",75,160,29.296875,"YES","MARRIED","Swietokrzyskie","NO",1000,"PLEASED"
"YES","FEMALE",48,"SECONDARY",63,160,24.609375,"YES","MARRIED","Wielkopolskie","NO",1500,"PLEASED"
"NO","FEMALE",24,"SECONDARY",54,170,18.6851211072664,"NO","MARRIED","Lubelskie","YES",1000,"MOSTLY SATISFIED"
"NO","MALE",24,"SECONDARY",80,170,27.681660899654,"NO","SINGLE","Malopolskie","YES",1800,"MOSTLY DISSATISFIED"
"NO","MALE",46,"VOCATIONAL/GRAMMAR",97,168,34.3679138321995,"YES","MARRIED","Podkarpackie","NO",1500,"PLEASED"
"NO","FEMALE",36,"POST-SECONDARY OR HIGHER",56,160,21.875,"YES","SINGLE","Lodzkie","NO",1500,"PLEASED"
"NO","FEMALE",18,"SECONDARY",69,189,19.3163685227177,"NO","SINGLE","Warminsko-mazurskie","NO",NA,"DELIGHTED"
"YES","MALE",27,"VOCATIONAL/GRAMMAR",80,180,24.6913580246914,"YES","MARRIED","Pomorskie","YES",1076,"PLEASED"
"NO","FEMALE",19,"VOCATIONAL/GRAMMAR",80,164,29.7441998810232,"NO","SINGLE","Wielkopolskie","NO",-8,"PLEASED"
"NO","FEMALE",34,"POST-SECONDARY OR HIGHER",52,166,18.8706633763972,"YES","MARRIED","Mazowieckie","NO",8255,"PLEASED"
"NO","FEMALE",53,"SECONDARY",73,164,27.1415823914337,"NO","MARRIED","Lubuskie","NO",1200,"MIXED"
"NO","MALE",66,"POST-SECONDARY OR HIGHER",84,175,27.4285714285714,"NO","MARRIED","Slaskie","NO",3000,"PLEASED"
"NO","FEMALE",62,"VOCATIONAL/GRAMMAR",78,170,26.9896193771626,"YES","MARRIED","Podkarpackie","NO",1000,"PLEASED"
"NO","FEMALE",51,"SECONDARY",53,156,21.7784352399737,"YES","MARRIED","Podkarpackie","NO",800,"MOSTLY SATISFIED"
"NO","FEMALE",76,"PRIMARY/NO EDUCATION",65,160,25.390625,"YES","WIDOWED","Lodzkie","NO",1100,"MIXED"
"YES","MALE",38,"VOCATIONAL/GRAMMAR",80,187,22.8774057021934,"YES","MARRIED","Podlaskie","NO",800,"MOSTLY SATISFIED"
"NO","FEMALE",37,"POST-SECONDARY OR HIGHER",60,164,22.3081499107674,"YES","DE FACTO SEPARATED","Zachodnio-pomorskie","NO",4200,"MOSTLY SATISFIED"
"YES","MALE",38,"VOCATIONAL/GRAMMAR",86,176,27.7634297520661,"YES","MARRIED","Swietokrzyskie","NO",600,"MIXED"
"NO","MALE",52,"VOCATIONAL/GRAMMAR",67,163,25.2173585757838,"YES","SINGLE","Malopolskie","NO",NA,"MIXED"
"YES","FEMALE",56,"SECONDARY",56,152,24.2382271468144,"YES","MARRIED","Wielkopolskie","NO",NA,"PLEASED"
"NO","MALE",57,"VOCATIONAL/GRAMMAR",75,175,24.4897959183673,"YES","MARRIED","Swietokrzyskie","NO",860,"MOSTLY SATISFIED"
"NO","FEMALE",43,"POST-SECONDARY OR HIGHER",60,160,23.4375,"YES","MARRIED","Lubuskie","NO",2300,"PLEASED"
"NO","MALE",23,"SECONDARY",85,181,25.9454839595861,"NO","SINGLE","Slaskie","NO",NA,"PLEASED"
"NO","FEMALE",65,"VOCATIONAL/GRAMMAR",72,165,26.4462809917355,"YES","WIDOWED","Kujawsko-pomorskie","NO",4200,"PLEASED"
"YES","MALE",50,"SECONDARY",70,170,24.2214532871972,"NO","MARRIED","Kujawsko-pomorskie","NO",2000,"PLEASED"
"YES","MALE",35,"VOCATIONAL/GRAMMAR",96,180,29.6296296296296,"YES","MARRIED","Slaskie","YES",600,"MOSTLY SATISFIED"
"NO","FEMALE",63,"PRIMARY/NO EDUCATION",62,152,26.8351800554017,"YES","MARRIED","Lubuskie","NO",660,"MOSTLY SATISFIED"
"NO","MALE",47,"SECONDARY",92,176,29.7004132231405,"YES","MARRIED","Dolnoslaskie","NO",-8,"MOSTLY SATISFIED"
"NO","FEMALE",60,"SECONDARY",51,153,21.7864923747277,"YES","MARRIED","Lodzkie","NO",1300,"PLEASED"
"NO","FEMALE",17,"VOCATIONAL/GRAMMAR",55,164,20.4491374182035,"NO","SINGLE","Malopolskie","NO",NA,"PLEASED"
"NO","FEMALE",50,"VOCATIONAL/GRAMMAR",77,155,32.0499479708637,"YES","MARRIED","Dolnoslaskie","NO",1000,"PLEASED"
"NO","FEMALE",81,"SECONDARY",58,153,24.7767952496903,"NO","WIDOWED","Mazowieckie","NO",1480,"PLEASED"
"NO","FEMALE",39,"VOCATIONAL/GRAMMAR",53,168,18.7783446712018,"NO","MARRIED","Opolskie","NO",NA,"MOSTLY SATISFIED"
"NO","MALE",69,"PRIMARY/NO EDUCATION",76,170,26.2975778546713,"YES","MARRIED","Podkarpackie","NO",960,"PLEASED"
"NO","FEMALE",33,"POST-SECONDARY OR HIGHER",53,165,19.4674012855831,"NO","MARRIED","Lubuskie","NO",1400,"PLEASED"
"NO","MALE",41,"POST-SECONDARY OR HIGHER",80,173,26.7299274950717,"NO","MARRIED","Lubelskie","NO",-8,"MOSTLY SATISFIED"
"NO","FEMALE",21,"SECONDARY",50,178,15.7808357530615,"YES","SINGLE","Dolnoslaskie","NO",1200,"MIXED"
"NO","MALE",61,"SECONDARY",92,182,27.774423378819,"NO","MARRIED","Wielkopolskie","NO",3200,"DELIGHTED"
"NO","MALE",76,"VOCATIONAL/GRAMMAR",72,176,23.2438016528926,"YES","MARRIED","Malopolskie","NO",1200,"MIXED"
"NO","FEMALE",54,"PRIMARY/NO EDUCATION",75,164,27.8851873884593,"YES","MARRIED","Lubelskie","NO",-8,"MIXED"
"NO","MALE",42,"VOCATIONAL/GRAMMAR",75,182,22.6421929718633,"YES","SINGLE","Mazowieckie","NO",497,"MIXED"
"YES","FEMALE",36,"POST-SECONDARY OR HIGHER",56,167,20.0796012764889,"YES","MARRIED","Lubelskie","NO",-8,"PLEASED"
"NO","MALE",42,"POST-SECONDARY OR HIGHER",98,176,31.6373966942149,"YES","MARRIED","Pomorskie","YES",-8,"PLEASED"
"YES","FEMALE",59,"SECONDARY",93,164,34.5776323616895,"YES","WIDOWED","Lubelskie","NO",690,"MIXED"
"NO","FEMALE",74,"PRIMARY/NO EDUCATION",78,160,30.46875,"NO","MARRIED","Opolskie","NO",1000,"MOSTLY SATISFIED"
"NO","MALE",62,"PRIMARY/NO EDUCATION",115,185,33.6011687363039,"YES","MARRIED","Mazowieckie","NO",1900,"PLEASED"
"NO","FEMALE",72,"PRIMARY/NO EDUCATION",68,163,25.5937370619895,"YES","MARRIED","Mazowieckie","NO",1120,"PLEASED"
"NO","MALE",24,"SECONDARY",85,176,27.4405991735537,"YES","SINGLE","Slaskie","NO",1800,"MOSTLY SATISFIED"
"NO","FEMALE",47,"SECONDARY",65,164,24.1671624033314,"YES","WIDOWED","Slaskie","NO",1700,"PLEASED"
"YES","MALE",57,"VOCATIONAL/GRAMMAR",80,180,24.6913580246914,"NO","DIVORCED","Dolnoslaskie","NO",1600,"MIXED"
"NO","MALE",53,"SECONDARY",100,178,31.561671506123,"NO","MARRIED","Dolnoslaskie","NO",2500,"DELIGHTED"
"NO","FEMALE",79,"PRIMARY/NO EDUCATION",58,158,23.2334561768947,"YES","WIDOWED","Podlaskie","NO",1000,"MIXED"
"YES","FEMALE",47,"POST-SECONDARY OR HIGHER",58,160,22.65625,"YES","DIVORCED","Wielkopolskie","NO",1800,"MIXED"
"NO","FEMALE",25,"SECONDARY",60,166,21.7738423573813,"YES","MARRIED","Wielkopolskie","NO",-8,"MIXED"
"NO","MALE",27,"POST-SECONDARY OR HIGHER",60,183,17.9163307354654,"NO","MARRIED","Mazowieckie","NO",-8,"DELIGHTED"
"YES","MALE",36,"POST-SECONDARY OR HIGHER",81,175,26.4489795918367,"YES","SINGLE","Malopolskie","NO",4000,"PLEASED"
"NO","FEMALE",45,"VOCATIONAL/GRAMMAR",57,163,21.4535737137265,"YES","MARRIED","Lodzkie","NO",1400,"MOSTLY SATISFIED"
"NO","MALE",55,"POST-SECONDARY OR HIGHER",80,180,24.6913580246914,"NO","MARRIED","Kujawsko-pomorskie","NO",3000,"PLEASED"
"NO","MALE",55,"VOCATIONAL/GRAMMAR",87,174,28.735632183908,"YES","MARRIED","Podlaskie","NO",1720,"PLEASED"
"NO","MALE",80,"POST-SECONDARY OR HIGHER",80,180,24.6913580246914,"YES","MARRIED","Wielkopolskie","NO",1100,"MOSTLY SATISFIED"
"NO","FEMALE",54,"SECONDARY",98,163,36.8850916481614,"NO","MARRIED","Slaskie","NO",1000,"PLEASED"
"NO","FEMALE",22,"SECONDARY",54,171,18.4672206832872,"YES","SINGLE","Malopolskie","NO",-8,"PLEASED"
"NO","FEMALE",34,"POST-SECONDARY OR HIGHER",80,163,30.1102788964583,"NO","MARRIED","Kujawsko-pomorskie","YES",NA,"MIXED"
"YES","MALE",39,"POST-SECONDARY OR HIGHER",145,189,40.5923686346967,"YES","MARRIED","Slaskie","NO",5000,"PLEASED"
"NO","FEMALE",61,"SECONDARY",68,162,25.9106843468983,"YES","MARRIED","Pomorskie","NO",1300,"MOSTLY SATISFIED"
