age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours,native,label
41, Private,169628, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, Female,0,0,40, ?,0
74, Self-emp-not-inc,192413, Prof-school,15, Divorced, Prof-specialty, Other-relative, Male,0,0,40, United-States,0
31, Self-emp-not-inc,145162, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,60, ?,1
65, Local-gov,205024, HS-grad,9, Married-civ-spouse, Other-service, Husband, Male,0,0,8, United-States,0
65, Local-gov,240166, 11th,7, Married-civ-spouse, Transport-moving, Husband, Male,0,0,35, United-States,0
29, Private,191722, Some-college,10, Married-civ-spouse, Protective-serv, Husband, Male,7688,0,54, United-States,1
31, Private,243773, 9th,5, Never-married, Other-service, Unmarried, Female,0,0,20, United-States,0
34, Private,110476, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,40, United-States,0
36, Private,199346, Masters,14, Married-civ-spouse, Prof-specialty, Wife, Female,0,0,50, United-States,1
35, Local-gov,668319, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,1740,80, United-States,0
22, Private,33087, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,45, United-States,0
46, Private,264210, Some-college,10, Married-civ-spouse, Farming-fishing, Wife, Female,0,0,20, United-States,0
31, Private,206512, 11th,7, Never-married, Handlers-cleaners, Own-child, Male,0,0,25, United-States,0
59, Private,159008, Some-college,10, Married-civ-spouse, Protective-serv, Husband, Male,0,0,56, United-States,0
28, Private,42734, HS-grad,9, Never-married, Handlers-cleaners, Own-child, Male,0,0,40, United-States,0
63, Self-emp-not-inc,159715, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States,0
45, Self-emp-inc,149865, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,60, United-States,1
41, Local-gov,81054, Some-college,10, Divorced, Exec-managerial, Unmarried, Female,0,0,25, United-States,0
24, Self-emp-not-inc,161508, HS-grad,9, Never-married, Craft-repair, Own-child, Male,0,0,50, United-States,0
27, Private,233421, Some-college,10, Never-married, Adm-clerical, Own-child, Male,0,0,20, United-States,0
23, Private,184813, Some-college,10, Married-civ-spouse, Other-service, Husband, Male,0,0,20, United-States,0
37, Local-gov,244803, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, ?,0
32, Private,281030, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States,0
40, State-gov,26598, Bachelors,13, Divorced, Prof-specialty, Not-in-family, Male,0,0,40, United-States,0
41, Self-emp-not-inc,66632, Some-college,10, Divorced, Craft-repair, Not-in-family, Male,0,0,40, United-States,0
20, Private,216825, HS-grad,9, Never-married, Sales, Own-child, Female,0,0,25, Mexico,0
27, Local-gov,216013, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Male,0,0,40, United-States,0
45, Private,162494, HS-grad,9, Never-married, Sales, Own-child, Female,0,0,19, United-States,0
49, Private,114797, Bachelors,13, Divorced, Exec-managerial, Unmarried, Female,0,0,40, United-States,0
53, ?,123011, HS-grad,9, Married-civ-spouse, ?, Husband, Male,0,0,40, United-States,1
43, Private,144371, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Male,0,0,42, United-States,1
41, State-gov,309056, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,50, United-States,1
66, Self-emp-not-inc,293114, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Male,1409,0,40, United-States,0
49, Private,169180, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Wife, Female,0,0,40, Hong,0
55, Private,176012, 9th,5, Married-civ-spouse, Tech-support, Wife, Female,0,0,23, United-States,0
45, Federal-gov,183804, Some-college,10, Never-married, Adm-clerical, Own-child, Male,0,0,40, United-States,0
20, ?,371089, HS-grad,9, Never-married, ?, Own-child, Female,0,0,40, United-States,0
23, ?,164574, Assoc-acdm,12, Never-married, ?, Own-child, Male,0,0,40, United-States,0
26, Private,165510, HS-grad,9, Divorced, Craft-repair, Unmarried, Male,0,0,40, United-States,0
36, Private,234271, Some-college,10, Never-married, Craft-repair, Not-in-family, Female,0,0,40, United-States,0
27, Private,215014, HS-grad,9, Married-civ-spouse, Sales, Husband, Male,0,0,35, Mexico,0
90, Private,313986, 11th,7, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,0
23, Private,664670, HS-grad,9, Never-married, Craft-repair, Own-child, Male,0,0,40, United-States,0
21, Private,296158, HS-grad,9, Never-married, Other-service, Own-child, Male,0,0,40, United-States,0
44, Private,29762, HS-grad,9, Divorced, Transport-moving, Not-in-family, Male,0,0,68, United-States,0
42, Private,331651, Masters,14, Never-married, Prof-specialty, Not-in-family, Female,8614,0,50, United-States,1
22, Private,39615, Some-college,10, Never-married, Prof-specialty, Not-in-family, Male,0,0,45, United-States,0
63, Private,117681, HS-grad,9, Divorced, Farming-fishing, Not-in-family, Male,0,0,25, United-States,0
64, State-gov,104361, Some-college,10, Separated, Adm-clerical, Not-in-family, Female,0,0,65, United-States,0
57, Private,139290, HS-grad,9, Divorced, Other-service, Not-in-family, Male,0,0,38, United-States,0
59, Private,97168, 10th,6, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,1
55, Private,320835, Bachelors,13, Married-civ-spouse, Sales, Husband, Male,0,0,50, United-States,1
20, Private,206681, 12th,8, Never-married, Sales, Not-in-family, Female,0,0,55, United-States,0
60, Local-gov,101110, Assoc-voc,11, Divorced, Prof-specialty, Unmarried, Male,0,0,40, United-States,1
39, Private,114678, HS-grad,9, Divorced, Other-service, Unmarried, Female,5455,0,40, United-States,0
31, Private,173279, Bachelors,13, Married-civ-spouse, Tech-support, Husband, Male,0,0,40, United-States,1
38, Private,238397, Bachelors,13, Divorced, Priv-house-serv, Unmarried, Female,0,0,24, United-States,0
32, Self-emp-inc,103078, Bachelors,13, Married-civ-spouse, Sales, Husband, Male,0,0,40, United-States,0
37, Private,151764, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,50, United-States,0
60, Private,145493, Some-college,10, Divorced, Adm-clerical, Not-in-family, Female,0,0,40, United-States,0
26, Private,402998, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,58, United-States,1
68, ?,29240, HS-grad,9, Widowed, ?, Not-in-family, Female,0,0,12, United-States,0
43, Self-emp-not-inc,182217, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Female,0,0,35, United-States,0
33, Private,232475, Some-college,10, Never-married, Sales, Own-child, Male,0,0,45, United-States,0
48, Private,146919, Some-college,10, Divorced, Adm-clerical, Unmarried, Female,0,0,45, United-States,0
58, Federal-gov,319733, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,70, United-States,0
64, State-gov,111795, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Male,0,0,45, United-States,1
50, Private,166220, Assoc-acdm,12, Married-civ-spouse, Sales, Wife, Female,3942,0,40, United-States,0
40, Self-emp-not-inc,34037, HS-grad,9, Never-married, Farming-fishing, Not-in-family, Male,0,0,70, United-States,0
52, Private,46788, Bachelors,13, Divorced, Craft-repair, Unmarried, Male,0,0,25, United-States,0
33, Private,339482, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,0
66, Self-emp-not-inc,427422, Doctorate,16, Married-civ-spouse, Sales, Husband, Male,0,2377,25, United-States,1
29, Private,222249, HS-grad,9, Never-married, Adm-clerical, Other-relative, Female,0,0,40, United-States,0
29, Private,163265, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,40, United-States,0
18, Self-emp-not-inc,42857, Some-college,10, Never-married, Craft-repair, Not-in-family, Female,0,0,35, United-States,0
30, Private,196385, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Male,15024,0,35, United-States,1
33, Private,142675, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, Male,0,0,30, United-States,0
48, Private,97176, HS-grad,9, Divorced, Adm-clerical, Other-relative, Female,0,0,40, United-States,0
53, Private,195638, HS-grad,9, Divorced, Adm-clerical, Not-in-family, Female,0,0,40, United-States,0
32, Private,207201, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Male,0,0,45, United-States,1
17, Private,165918, 11th,7, Never-married, Handlers-cleaners, Own-child, Male,0,0,20, Peru,0
32, Local-gov,19302, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, Male,0,0,56, England,1
43, Local-gov,147328, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Male,0,1977,60, United-States,1
90, Private,311184, Bachelors,13, Married-civ-spouse, Sales, Husband, Male,0,0,20, ?,0
54, Private,48358, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,1
23, Private,190483, Bachelors,13, Never-married, Sales, Own-child, Female,0,0,20, United-States,0
23, Private,163665, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Female,0,0,32, United-States,0
18, Private,31983, 12th,8, Never-married, Adm-clerical, Own-child, Female,0,0,20, United-States,0
59, Private,43221, 9th,5, Married-civ-spouse, Transport-moving, Husband, Male,0,0,60, United-States,1
39, Local-gov,164156, Assoc-acdm,12, Divorced, Other-service, Unmarried, Female,0,0,55, United-States,0
27, Private,180758, Assoc-acdm,12, Never-married, Sales, Not-in-family, Male,0,0,40, United-States,0
43, Local-gov,186995, HS-grad,9, Divorced, Protective-serv, Unmarried, Female,0,0,40, United-States,0
81, Private,122651, Some-college,10, Married-civ-spouse, Sales, Husband, Male,0,0,15, United-States,0
41, Private,98061, HS-grad,9, Divorced, Transport-moving, Not-in-family, Male,0,0,40, United-States,0
30, Local-gov,311913, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, Female,0,0,40, United-States,1
20, Private,50397, HS-grad,9, Never-married, Adm-clerical, Own-child, Male,0,0,20, United-States,0
18, Private,210932, HS-grad,9, Never-married, Adm-clerical, Own-child, Female,0,0,40, United-States,0
20, Private,218343, HS-grad,9, Never-married, Other-service, Own-child, Female,0,0,25, United-States,0
34, Self-emp-not-inc,250182, 11th,7, Married-civ-spouse, Transport-moving, Husband, Male,0,0,60, United-States,0
41, Private,70092, Some-college,10, Divorced, Adm-clerical, Unmarried, Female,0,0,38, United-States,0
40, Federal-gov,121012, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, Male,7298,0,48, United-States,1
25, Private,102476, Bachelors,13, Never-married, Farming-fishing, Own-child, Male,27828,0,50, United-States,1
46, Private,128796, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,44, United-States,1
49, Private,99361, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,45, United-States,0
55, Private,116878, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, Male,15024,0,30, United-States,1
35, State-gov,349066, HS-grad,9, Divorced, Machine-op-inspct, Own-child, Male,0,0,40, United-States,0
46, Private,233511, Bachelors,13, Divorced, Craft-repair, Not-in-family, Male,0,0,48, United-States,0
27, Private,221166, 9th,5, Never-married, Farming-fishing, Own-child, Male,0,0,40, United-States,0
43, Federal-gov,156996, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Male,0,2415,55, ?,1
63, Local-gov,150079, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, Female,0,0,35, United-States,1
28, ?,424884, 10th,6, Separated, ?, Not-in-family, Male,0,0,30, United-States,0
41, Self-emp-not-inc,195124, HS-grad,9, Never-married, Sales, Not-in-family, Male,0,0,50, ?,0
21, Local-gov,212780, 12th,8, Never-married, Handlers-cleaners, Unmarried, Female,0,0,20, United-States,0
27, Private,228476, Bachelors,13, Married-civ-spouse, Sales, Husband, Male,0,0,50, United-States,1
50, Local-gov,231725, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Male,0,0,40, United-States,0
45, State-gov,67544, Masters,14, Divorced, Protective-serv, Not-in-family, Male,0,0,50, United-States,0
43, Private,144778, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,50, United-States,1
27, Private,247978, HS-grad,9, Never-married, Other-service, Own-child, Female,0,0,40, United-States,0
27, Private,178564, Some-college,10, Never-married, Adm-clerical, Own-child, Male,0,0,30, United-States,0
24, Private,293579, HS-grad,9, Never-married, Sales, Own-child, Female,0,0,20, United-States,0
35, Federal-gov,287031, Masters,14, Never-married, Exec-managerial, Not-in-family, Male,8614,0,40, United-States,1
40, Local-gov,183096, 9th,5, Married-civ-spouse, Other-service, Wife, Female,0,0,40, Yugoslavia,1
34, Private,238305, Some-college,10, Married-civ-spouse, Other-service, Wife, Female,0,1628,12, ?,0
90, Private,139660, Some-college,10, Divorced, Sales, Unmarried, Female,0,0,37, United-States,0
33, Private,254221, Doctorate,16, Never-married, Prof-specialty, Not-in-family, Female,0,0,60, United-States,1
32, Private,105938, HS-grad,9, Divorced, Machine-op-inspct, Own-child, Female,0,0,40, United-States,0
43, Private,96102, Masters,14, Married-spouse-absent, Exec-managerial, Not-in-family, Male,0,0,50, United-States,0
25, Private,240081, HS-grad,9, Never-married, Sales, Own-child, Male,0,0,40, United-States,0
37, Federal-gov,141029, Masters,14, Divorced, Prof-specialty, Not-in-family, Female,0,0,40, United-States,0
26, Private,73312, 11th,7, Never-married, Machine-op-inspct, Unmarried, Female,0,0,15, United-States,0
18, Private,318190, 11th,7, Never-married, Other-service, Own-child, Male,0,0,15, United-States,0
50, Private,71898, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Wife, Female,0,0,35, Philippines,0
60, State-gov,27037, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Male,0,0,40, United-States,1
54, Private,35459, HS-grad,9, Never-married, Sales, Not-in-family, Male,0,0,40, United-States,0
38, Private,198216, Some-college,10, Divorced, Exec-managerial, Unmarried, Female,0,0,40, United-States,0
39, Private,299828, 5th-6th,3, Separated, Sales, Unmarried, Female,0,0,30, Puerto-Rico,0
48, Private,195437, 11th,7, Married-civ-spouse, Transport-moving, Husband, Male,0,0,40, United-States,1
57, Private,49893, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,60, United-States,1
60, Private,53707, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States,1
19, Private,102723, Some-college,10, Never-married, Adm-clerical, Own-child, Female,0,0,40, United-States,0
43, State-gov,24763, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Male,0,1887,45, United-States,1
62, Private,92178, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States,0
32, Private,281437, Some-college,10, Married-civ-spouse, Transport-moving, Husband, Male,0,0,55, United-States,0
19, Private,365640, HS-grad,9, Never-married, Priv-house-serv, Not-in-family, Female,0,0,45, ?,0
66, Local-gov,222810, Some-college,10, Divorced, Other-service, Other-relative, Female,7896,0,40, ?,1
67, Private,150516, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, Male,0,0,24, United-States,0
33, Private,254221, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Female,0,0,40, United-States,0
63, Private,158199, 1st-4th,2, Widowed, Machine-op-inspct, Unmarried, Female,0,0,44, Portugal,0
30, Private,228406, HS-grad,9, Separated, Adm-clerical, Unmarried, Female,0,0,40, United-States,0
25, Private,366416, HS-grad,9, Never-married, Adm-clerical, Own-child, Female,0,0,40, United-States,0
33, Private,145434, 11th,7, Never-married, Craft-repair, Own-child, Male,0,0,40, United-States,0
33, Private,252168, Some-college,10, Never-married, Other-service, Not-in-family, Male,0,0,40, United-States,0
46, Private,109089, HS-grad,9, Divorced, Craft-repair, Not-in-family, Male,0,0,37, United-States,0
60, Private,240521, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Male,7298,0,40, United-States,1
56, Private,176118, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Male,3103,0,40, United-States,1
27, Private,157612, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Female,0,0,55, United-States,0
18, Private,107277, 11th,7, Never-married, Sales, Own-child, Female,0,0,20, United-States,0
52, Private,145548, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, Male,0,0,40, United-States,1
30, Private,208043, Bachelors,13, Married-civ-spouse, Sales, Husband, Male,0,0,55, United-States,1
43, Private,114351, HS-grad,9, Divorced, Craft-repair, Not-in-family, Male,0,0,35, United-States,0
42, Private,111483, Bachelors,13, Married-civ-spouse, Tech-support, Husband, Male,0,0,50, United-States,1
42, Private,340885, HS-grad,9, Divorced, Farming-fishing, Not-in-family, Male,0,0,44, United-States,0
51, Private,104651, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Male,0,0,50, United-States,0
54, Self-emp-not-inc,230951, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States,1
60, Private,227468, Some-college,10, Widowed, Protective-serv, Not-in-family, Female,0,0,40, United-States,0
43, Private,170214, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,50, United-States,1
73, Private,147551, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, Male,0,2174,50, United-States,1
47, Private,189680, Bachelors,13, Married-civ-spouse, Sales, Husband, Male,0,1977,40, United-States,1
27, Private,177057, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, Male,0,0,40, United-States,0
57, ?,24127, Bachelors,13, Married-civ-spouse, ?, Husband, Male,0,0,8, United-States,0
40, Private,326232, Some-college,10, Divorced, Transport-moving, Unmarried, Male,0,0,40, United-States,1
58, State-gov,300623, HS-grad,9, Divorced, Adm-clerical, Unmarried, Female,0,0,40, United-States,0
28, ?,37215, Bachelors,13, Never-married, ?, Own-child, Male,0,0,45, United-States,0
44, Private,222596, HS-grad,9, Divorced, Tech-support, Not-in-family, Male,0,0,50, United-States,1
45, State-gov,208049, HS-grad,9, Divorced, Tech-support, Unmarried, Female,0,0,40, United-States,0
25, Private,292058, HS-grad,9, Never-married, Other-service, Other-relative, Male,0,0,30, United-States,0
52, Private,204584, Bachelors,13, Married-spouse-absent, Exec-managerial, Not-in-family, Female,0,0,42, United-States,0
29, Private,144259, Bachelors,13, Married-civ-spouse, Handlers-cleaners, Husband, Male,4386,0,80, ?,1
80, ?,107762, HS-grad,9, Widowed, ?, Not-in-family, Male,0,0,24, United-States,0
19, Private,195805, HS-grad,9, Never-married, Sales, Own-child, Female,0,0,12, United-States,0
35, Private,30381, Bachelors,13, Married-civ-spouse, Sales, Husband, Male,0,0,45, United-States,1
53, Private,117058, HS-grad,9, Divorced, Other-service, Unmarried, Female,0,0,40, United-States,0
29, Private,159479, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,55, United-States,0
72, ?,213255, HS-grad,9, Widowed, ?, Not-in-family, Female,0,0,8, United-States,0
23, Private,103632, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Female,0,0,40, United-States,0
53, Private,126368, Some-college,10, Never-married, Adm-clerical, Not-in-family, Female,0,0,50, United-States,1
54, Private,185407, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Male,7688,0,40, United-States,1
23, Private,60331, Some-college,10, Never-married, Transport-moving, Not-in-family, Male,0,0,60, United-States,0
17, Private,99462, 11th,7, Never-married, Other-service, Own-child, Female,0,0,20, United-States,0
34, Federal-gov,198265, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, Male,0,0,60, United-States,0
27, Private,704108, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Male,0,0,50, United-States,0
41, Private,163287, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, Male,7688,0,43, United-States,1
43, Self-emp-not-inc,272165, 9th,5, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,0
51, Private,237735, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Male,3103,0,40, United-States,1
37, Private,263094, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Male,7298,0,40, United-States,1
27, Private,256764, Assoc-acdm,12, Never-married, Sales, Not-in-family, Male,0,0,40, United-States,0
33, Private,232475, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,1
34, Private,287315, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, Male,0,0,40, United-States,0
45, Local-gov,160472, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,1977,50, United-States,1
36, Private,107410, HS-grad,9, Married-civ-spouse, Sales, Husband, Male,0,0,40, United-States,0
56, Private,206399, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,0
43, Private,183273, Masters,14, Married-civ-spouse, Exec-managerial, Wife, Female,15024,0,32, United-States,1
57, Self-emp-inc,257200, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States,1
27, Self-emp-not-inc,300777, HS-grad,9, Divorced, Transport-moving, Not-in-family, Male,0,0,70, United-States,0
22, Private,106843, 10th,6, Never-married, Craft-repair, Other-relative, Male,0,0,30, United-States,0
21, Private,231866, HS-grad,9, Never-married, Farming-fishing, Own-child, Male,0,0,65, United-States,0
41, Local-gov,190786, Bachelors,13, Divorced, Prof-specialty, Not-in-family, Male,0,0,20, United-States,0
21, ?,149704, HS-grad,9, Never-married, ?, Not-in-family, Female,1055,0,40, United-States,0
20, State-gov,39478, Some-college,10, Never-married, Exec-managerial, Own-child, Male,0,0,54, United-States,0
20, Private,362999, Some-college,10, Never-married, Adm-clerical, Own-child, Female,0,0,20, United-States,0
67, Private,101132, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, Male,1797,0,40, United-States,0
52, Private,150812, Some-college,10, Divorced, Adm-clerical, Unmarried, Female,0,0,35, United-States,0
26, Private,137658, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Female,0,0,45, United-States,0
52, Private,117674, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,55, United-States,1
29, Private,161444, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, Columbia,0
19, Private,355477, HS-grad,9, Never-married, Other-service, Own-child, Male,0,0,25, United-States,0
39, Private,235259, Some-college,10, Divorced, Adm-clerical, Not-in-family, Female,0,0,40, United-States,0
41, Private,82393, Bachelors,13, Never-married, Adm-clerical, Not-in-family, Male,0,0,50, United-States,0
57, Self-emp-not-inc,149168, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,55, United-States,0
46, Self-emp-inc,276934, Bachelors,13, Married-civ-spouse, Sales, Husband, Male,0,0,70, United-States,1
20, Private,249956, Some-college,10, Never-married, Adm-clerical, Own-child, Female,0,0,10, United-States,0
52, State-gov,303462, Some-college,10, Separated, Protective-serv, Unmarried, Male,0,0,40, United-States,0
